Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,363,0
01:00 - 02:00,424,0
02:00 - 03:00,468,0
03:00 - 04:00,507,0
04:00 - 05:00,496,0
05:00 - 06:00,509,0
06:00 - 07:00,528,0
07:00 - 08:00,506,0
08:00 - 09:00,458,0
09:00 - 10:00,400,0
10:00 - 11:00,392,0
11:00 - 12:00,359,0
12:00 - 13:00,564,0
13:00 - 14:00,673,0
14:00 - 15:00,713,0
15:00 - 16:00,732,0
16:00 - 17:00,789,0
17:00 - 18:00,706,0
18:00 - 19:00,750,0
19:00 - 20:00,594,0
20:00 - 21:00,442,0
21:00 - 22:00,439,0
22:00 - 23:00,429,0
23:00 - 00:00,606,0
