Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,117
01:00 - 02:00,0,219
02:00 - 03:00,0,254
03:00 - 04:00,0,243
04:00 - 05:00,0,240
05:00 - 06:00,0,271
06:00 - 07:00,0,256
07:00 - 08:00,0,85
08:00 - 09:00,0,29
09:00 - 10:00,0,30
10:00 - 11:00,0,132
11:00 - 12:00,0,195
12:00 - 13:00,0,91
13:00 - 14:00,0,196
14:00 - 15:00,0,295
15:00 - 16:00,0,265
16:00 - 17:00,0,293
17:00 - 18:00,0,335
18:00 - 19:00,0,216
19:00 - 20:00,0,157
20:00 - 21:00,0,203
21:00 - 22:00,0,194
22:00 - 23:00,0,150
23:00 - 00:00,0,16
