Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,265
01:00 - 02:00,0,216
02:00 - 03:00,0,234
03:00 - 04:00,0,218
04:00 - 05:00,0,215
05:00 - 06:00,0,194
06:00 - 07:00,0,222
07:00 - 08:00,0,129
08:00 - 09:00,0,124
09:00 - 10:00,0,128
10:00 - 11:00,0,160
11:00 - 12:00,0,147
12:00 - 13:00,0,151
13:00 - 14:00,0,202
14:00 - 15:00,0,118
15:00 - 16:00,0,108
16:00 - 17:00,0,161
17:00 - 18:00,0,195
18:00 - 19:00,0,151
19:00 - 20:00,0,119
20:00 - 21:00,0,154
21:00 - 22:00,0,140
22:00 - 23:00,0,69
23:00 - 00:00,0,40
