Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,107
01:00 - 02:00,0,1
02:00 - 03:00,51,0
03:00 - 04:00,114,0
04:00 - 05:00,115,0
05:00 - 06:00,59,0
06:00 - 07:00,25,0
07:00 - 08:00,0,120
08:00 - 09:00,0,203
09:00 - 10:00,0,201
10:00 - 11:00,0,123
11:00 - 12:00,0,17
12:00 - 13:00,139,0
13:00 - 14:00,279,0
14:00 - 15:00,288,0
15:00 - 16:00,338,0
16:00 - 17:00,427,0
17:00 - 18:00,413,0
18:00 - 19:00,287,0
19:00 - 20:00,133,0
20:00 - 21:00,131,0
21:00 - 22:00,0,84
22:00 - 23:00,0,188
23:00 - 00:00,0,136
