Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,278,0
01:00 - 02:00,329,0
02:00 - 03:00,371,0
03:00 - 04:00,381,0
04:00 - 05:00,366,0
05:00 - 06:00,405,0
06:00 - 07:00,405,0
07:00 - 08:00,260,0
08:00 - 09:00,189,0
09:00 - 10:00,67,0
10:00 - 11:00,0,41
11:00 - 12:00,0,93
12:00 - 13:00,0,109
13:00 - 14:00,7,0
14:00 - 15:00,8,0
15:00 - 16:00,77,0
16:00 - 17:00,158,0
17:00 - 18:00,316,0
18:00 - 19:00,352,0
19:00 - 20:00,364,0
20:00 - 21:00,432,0
21:00 - 22:00,354,0
22:00 - 23:00,367,0
23:00 - 00:00,307,0
