Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,254,0
00:15 - 00:30,161,0
00:30 - 00:45,179,0
00:45 - 01:00,194,0
01:00 - 01:15,172,0
01:15 - 01:30,148,0
01:30 - 01:45,162,0
01:45 - 02:00,170,0
02:00 - 02:15,197,0
02:15 - 02:30,205,0
02:30 - 02:45,202,0
02:45 - 03:00,209,0
03:00 - 03:15,199,0
03:15 - 03:30,199,0
03:30 - 03:45,204,0
03:45 - 04:00,209,0
04:00 - 04:15,184,0
04:15 - 04:30,169,0
04:30 - 04:45,180,0
04:45 - 05:00,172,0
05:00 - 05:15,90,0
05:15 - 05:30,212,0
05:30 - 05:45,131,0
05:45 - 06:00,153,0
06:00 - 06:15,178,0
06:15 - 06:30,123,0
06:30 - 06:45,127,0
06:45 - 07:00,67,0
07:00 - 07:15,116,0
07:15 - 07:30,151,0
07:30 - 07:45,136,0
07:45 - 08:00,176,0
08:00 - 08:15,140,0
08:15 - 08:30,153,0
08:30 - 08:45,120,0
08:45 - 09:00,0,0
09:00 - 09:15,0,0
09:15 - 09:30,0,0
09:30 - 09:45,0,0
09:45 - 10:00,0,0
10:00 - 10:15,0,0
10:15 - 10:30,266,0
10:30 - 10:45,318,0
10:45 - 11:00,261,0
11:00 - 11:15,263,0
11:15 - 11:30,265,0
11:30 - 11:45,319,0
11:45 - 12:00,297,0
12:00 - 12:15,362,0
12:15 - 12:30,341,0
12:30 - 12:45,355,0
12:45 - 13:00,283,0
13:00 - 13:15,325,0
13:15 - 13:30,344,0
13:30 - 13:45,364,0
13:45 - 14:00,322,0
14:00 - 14:15,404,0
14:15 - 14:30,409,0
14:30 - 14:45,430,0
14:45 - 15:00,325,0
15:00 - 15:15,364,0
15:15 - 15:30,315,0
15:30 - 15:45,407,0
15:45 - 16:00,340,0
16:00 - 16:15,502,0
16:15 - 16:30,412,0
16:30 - 16:45,439,0
16:45 - 17:00,428,0
17:00 - 17:15,420,0
17:15 - 17:30,392,0
17:30 - 17:45,386,0
17:45 - 18:00,350,0
18:00 - 18:15,268,0
18:15 - 18:30,337,0
18:30 - 18:45,282,0
18:45 - 19:00,314,0
19:00 - 19:15,176,0
19:15 - 19:30,131,0
19:30 - 19:45,148,0
19:45 - 20:00,126,0
20:00 - 20:15,133,0
20:15 - 20:30,116,0
20:30 - 20:45,143,0
20:45 - 21:00,174,0
21:00 - 21:15,173,0
21:15 - 21:30,109,0
21:30 - 21:45,152,0
21:45 - 22:00,160,0
22:00 - 22:15,148,0
22:15 - 22:30,178,0
22:30 - 22:45,177,0
22:45 - 23:00,182,0
23:00 - 23:15,149,0
23:15 - 23:30,112,0
23:30 - 23:45,100,0
23:45 - 00:00,186,0
