Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,274
01:00 - 02:00,0,271
02:00 - 03:00,0,278
03:00 - 04:00,0,293
04:00 - 05:00,0,284
05:00 - 06:00,0,280
06:00 - 07:00,0,354
07:00 - 08:00,0,347
08:00 - 09:00,0,290
09:00 - 10:00,0,402
10:00 - 11:00,0,338
11:00 - 12:00,0,270
12:00 - 13:00,0,304
13:00 - 14:00,0,301
14:00 - 15:00,0,355
15:00 - 16:00,0,317
16:00 - 17:00,0,345
17:00 - 18:00,0,323
18:00 - 19:00,0,325
19:00 - 20:00,0,317
20:00 - 21:00,0,313
21:00 - 22:00,0,288
22:00 - 23:00,0,285
23:00 - 00:00,0,235
