Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,229
01:00 - 02:00,0,221
02:00 - 03:00,0,175
03:00 - 04:00,0,174
04:00 - 05:00,0,186
05:00 - 06:00,0,203
06:00 - 07:00,0,140
07:00 - 08:00,64,0
08:00 - 09:00,236,0
09:00 - 10:00,429,0
10:00 - 11:00,458,0
11:00 - 12:00,435,0
12:00 - 13:00,601,0
13:00 - 14:00,601,0
14:00 - 15:00,575,0
15:00 - 16:00,563,0
16:00 - 17:00,426,0
17:00 - 18:00,229,0
18:00 - 19:00,176,0
19:00 - 20:00,39,0
20:00 - 21:00,16,0
21:00 - 22:00,0,56
22:00 - 23:00,56,0
23:00 - 00:00,0,130
