Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,290,0
01:00 - 02:00,290,0
02:00 - 03:00,289,0
03:00 - 04:00,303,0
04:00 - 05:00,309,0
05:00 - 06:00,318,0
06:00 - 07:00,302,0
07:00 - 08:00,286,0
08:00 - 09:00,138,0
09:00 - 10:00,0,51
10:00 - 11:00,0,247
11:00 - 12:00,0,250
12:00 - 13:00,0,402
13:00 - 14:00,0,382
14:00 - 15:00,0,342
15:00 - 16:00,0,266
16:00 - 17:00,0,81
17:00 - 18:00,126,0
18:00 - 19:00,216,0
19:00 - 20:00,361,0
20:00 - 21:00,427,0
21:00 - 22:00,345,0
22:00 - 23:00,402,0
23:00 - 00:00,287,0
