Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,176,0
01:00 - 02:00,251,0
02:00 - 03:00,297,0
03:00 - 04:00,339,0
04:00 - 05:00,351,0
05:00 - 06:00,341,0
06:00 - 07:00,389,0
07:00 - 08:00,413,0
08:00 - 09:00,260,0
09:00 - 10:00,183,0
10:00 - 11:00,0,94
11:00 - 12:00,20,0
12:00 - 13:00,0,14
13:00 - 14:00,39,0
14:00 - 15:00,27,0
15:00 - 16:00,173,0
16:00 - 17:00,402,0
17:00 - 18:00,646,0
18:00 - 19:00,729,0
19:00 - 20:00,764,0
20:00 - 21:00,705,0
21:00 - 22:00,458,0
22:00 - 23:00,670,0
23:00 - 00:00,458,0
