Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,51,0
01:00 - 02:00,209,0
02:00 - 03:00,211,0
03:00 - 04:00,281,0
04:00 - 05:00,318,0
05:00 - 06:00,391,0
06:00 - 07:00,347,0
07:00 - 08:00,166,0
08:00 - 09:00,20,0
09:00 - 10:00,0,109
10:00 - 11:00,0,199
11:00 - 12:00,0,152
12:00 - 13:00,0,171
13:00 - 14:00,0,177
14:00 - 15:00,0,164
15:00 - 16:00,0,83
16:00 - 17:00,46,0
17:00 - 18:00,83,0
18:00 - 19:00,120,0
19:00 - 20:00,160,0
20:00 - 21:00,88,0
21:00 - 22:00,0,15
22:00 - 23:00,0,135
23:00 - 00:00,0,268
