Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,110
01:00 - 02:00,0,207
02:00 - 03:00,0,225
03:00 - 04:00,0,278
04:00 - 05:00,0,295
05:00 - 06:00,0,352
06:00 - 07:00,0,359
07:00 - 08:00,0,10
08:00 - 09:00,93,0
09:00 - 10:00,194,0
10:00 - 11:00,226,0
11:00 - 12:00,154,0
12:00 - 13:00,176,0
13:00 - 14:00,127,0
14:00 - 15:00,90,0
15:00 - 16:00,70,0
16:00 - 17:00,0,7
17:00 - 18:00,21,0
18:00 - 19:00,83,0
19:00 - 20:00,180,0
20:00 - 21:00,229,0
21:00 - 22:00,322,0
22:00 - 23:00,298,0
23:00 - 00:00,266,0
