Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,134
01:00 - 02:00,0,24
02:00 - 03:00,45,0
03:00 - 04:00,130,0
04:00 - 05:00,158,0
05:00 - 06:00,255,0
06:00 - 07:00,222,0
07:00 - 08:00,77,0
08:00 - 09:00,0,89
09:00 - 10:00,0,170
10:00 - 11:00,0,241
11:00 - 12:00,0,292
12:00 - 13:00,0,282
13:00 - 14:00,0,275
14:00 - 15:00,0,272
15:00 - 16:00,0,248
16:00 - 17:00,0,155
17:00 - 18:00,0,146
18:00 - 19:00,0,40
19:00 - 20:00,80,0
20:00 - 21:00,0,26
21:00 - 22:00,0,103
22:00 - 23:00,0,195
23:00 - 00:00,0,302
