Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,154
01:00 - 02:00,0,143
02:00 - 03:00,0,151
03:00 - 04:00,0,141
04:00 - 05:00,0,148
05:00 - 06:00,0,132
06:00 - 07:00,0,82
07:00 - 08:00,23,0
08:00 - 09:00,1,0
09:00 - 10:00,58,0
10:00 - 11:00,0,5
11:00 - 12:00,0,69
12:00 - 13:00,0,70
13:00 - 14:00,0,11
14:00 - 15:00,75,0
15:00 - 16:00,115,0
16:00 - 17:00,192,0
17:00 - 18:00,165,0
18:00 - 19:00,169,0
19:00 - 20:00,0,31
20:00 - 21:00,0,75
21:00 - 22:00,0,51
22:00 - 23:00,0,52
23:00 - 00:00,0,165
