Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,381,0
01:00 - 02:00,448,0
02:00 - 03:00,470,0
03:00 - 04:00,444,0
04:00 - 05:00,502,0
05:00 - 06:00,528,0
06:00 - 07:00,492,0
07:00 - 08:00,536,0
08:00 - 09:00,507,0
09:00 - 10:00,441,0
10:00 - 11:00,266,0
11:00 - 12:00,175,0
12:00 - 13:00,216,0
13:00 - 14:00,219,0
14:00 - 15:00,308,0
15:00 - 16:00,453,0
16:00 - 17:00,759,0
17:00 - 18:00,885,0
18:00 - 19:00,951,0
19:00 - 20:00,611,0
20:00 - 21:00,554,0
21:00 - 22:00,516,0
22:00 - 23:00,359,0
23:00 - 00:00,488,0
