Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,96
01:00 - 02:00,0,190
02:00 - 03:00,0,196
03:00 - 04:00,0,178
04:00 - 05:00,0,230
05:00 - 06:00,0,267
06:00 - 07:00,0,275
07:00 - 08:00,0,194
08:00 - 09:00,0,54
09:00 - 10:00,70,0
10:00 - 11:00,53,0
11:00 - 12:00,20,0
12:00 - 13:00,55,0
13:00 - 14:00,18,0
14:00 - 15:00,0,54
15:00 - 16:00,0,157
16:00 - 17:00,0,155
17:00 - 18:00,0,192
18:00 - 19:00,0,146
19:00 - 20:00,0,56
20:00 - 21:00,0,32
21:00 - 22:00,0,18
22:00 - 23:00,65,0
23:00 - 00:00,0,65
