Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,429,0
01:00 - 02:00,487,0
02:00 - 03:00,407,0
03:00 - 04:00,321,0
04:00 - 05:00,293,0
05:00 - 06:00,250,0
06:00 - 07:00,183,0
07:00 - 08:00,110,0
08:00 - 09:00,201,0
09:00 - 10:00,342,0
10:00 - 11:00,395,0
11:00 - 12:00,281,0
12:00 - 13:00,271,0
13:00 - 14:00,310,0
14:00 - 15:00,390,0
15:00 - 16:00,400,0
16:00 - 17:00,431,0
17:00 - 18:00,483,0
18:00 - 19:00,518,0
19:00 - 20:00,474,0
20:00 - 21:00,200,0
21:00 - 22:00,88,0
22:00 - 23:00,139,0
23:00 - 00:00,84,0
