Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,150
01:00 - 02:00,0,282
02:00 - 03:00,0,264
03:00 - 04:00,0,197
04:00 - 05:00,0,152
05:00 - 06:00,0,90
06:00 - 07:00,0,56
07:00 - 08:00,0,222
08:00 - 09:00,0,301
09:00 - 10:00,0,215
10:00 - 11:00,0,239
11:00 - 12:00,0,107
12:00 - 13:00,55,0
13:00 - 14:00,198,0
14:00 - 15:00,191,0
15:00 - 16:00,154,0
16:00 - 17:00,64,0
17:00 - 18:00,46,0
18:00 - 19:00,65,0
19:00 - 20:00,32,0
20:00 - 21:00,12,0
21:00 - 22:00,0,95
22:00 - 23:00,0,63
23:00 - 00:00,0,79
