Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,10,0
01:00 - 02:00,46,0
02:00 - 03:00,73,0
03:00 - 04:00,53,0
04:00 - 05:00,16,0
05:00 - 06:00,0,39
06:00 - 07:00,0,96
07:00 - 08:00,111,0
08:00 - 09:00,279,0
09:00 - 10:00,408,0
10:00 - 11:00,381,0
11:00 - 12:00,345,0
12:00 - 13:00,316,0
13:00 - 14:00,293,0
14:00 - 15:00,295,0
15:00 - 16:00,280,0
16:00 - 17:00,237,0
17:00 - 18:00,186,0
18:00 - 19:00,169,0
19:00 - 20:00,180,0
20:00 - 21:00,69,0
21:00 - 22:00,0,16
22:00 - 23:00,0,12
23:00 - 00:00,0,68
