Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,176
01:00 - 02:00,0,215
02:00 - 03:00,0,200
03:00 - 04:00,0,186
04:00 - 05:00,0,202
05:00 - 06:00,0,203
06:00 - 07:00,0,227
07:00 - 08:00,0,168
08:00 - 09:00,0,260
09:00 - 10:00,0,344
10:00 - 11:00,0,418
11:00 - 12:00,0,461
12:00 - 13:00,0,510
13:00 - 14:00,0,563
14:00 - 15:00,0,581
15:00 - 16:00,0,523
16:00 - 17:00,0,480
17:00 - 18:00,0,458
18:00 - 19:00,0,461
19:00 - 20:00,0,474
20:00 - 21:00,0,357
21:00 - 22:00,0,126
22:00 - 23:00,0,206
23:00 - 00:00,0,98
