Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,591,0
01:00 - 02:00,626,0
02:00 - 03:00,608,0
03:00 - 04:00,590,0
04:00 - 05:00,569,0
05:00 - 06:00,540,0
06:00 - 07:00,587,0
07:00 - 08:00,505,0
08:00 - 09:00,652,0
09:00 - 10:00,750,0
10:00 - 11:00,718,0
11:00 - 12:00,735,0
12:00 - 13:00,915,0
13:00 - 14:00,884,0
14:00 - 15:00,814,0
15:00 - 16:00,751,0
16:00 - 17:00,714,0
17:00 - 18:00,694,0
18:00 - 19:00,494,0
19:00 - 20:00,645,0
20:00 - 21:00,652,0
21:00 - 22:00,465,0
22:00 - 23:00,497,0
23:00 - 00:00,308,0
