Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,273,0
00:15 - 00:30,139,0
00:30 - 00:45,213,0
00:45 - 01:00,205,0
01:00 - 01:15,221,0
01:15 - 01:30,209,0
01:30 - 01:45,238,0
01:45 - 02:00,175,0
02:00 - 02:15,205,0
02:15 - 02:30,210,0
02:30 - 02:45,194,0
02:45 - 03:00,281,0
03:00 - 03:15,229,0
03:15 - 03:30,229,0
03:30 - 03:45,179,0
03:45 - 04:00,223,0
04:00 - 04:15,141,0
04:15 - 04:30,161,0
04:30 - 04:45,232,0
04:45 - 05:00,142,0
05:00 - 05:15,174,0
05:15 - 05:30,172,0
05:30 - 05:45,172,0
05:45 - 06:00,165,0
06:00 - 06:15,229,0
06:15 - 06:30,193,0
06:30 - 06:45,182,0
06:45 - 07:00,166,0
07:00 - 07:15,95,0
07:15 - 07:30,131,0
07:30 - 07:45,177,0
07:45 - 08:00,202,0
08:00 - 08:15,216,0
08:15 - 08:30,215,0
08:30 - 08:45,260,0
08:45 - 09:00,247,0
09:00 - 09:15,291,0
09:15 - 09:30,271,0
09:30 - 09:45,272,0
09:45 - 10:00,252,0
10:00 - 10:15,361,0
10:15 - 10:30,281,0
10:30 - 10:45,371,0
10:45 - 11:00,376,0
11:00 - 11:15,310,0
11:15 - 11:30,301,0
11:30 - 11:45,395,0
11:45 - 12:00,358,0
12:00 - 12:15,473,0
12:15 - 12:30,523,0
12:30 - 12:45,464,0
12:45 - 13:00,440,0
13:00 - 13:15,461,0
13:15 - 13:30,506,0
13:30 - 13:45,475,0
13:45 - 14:00,472,0
14:00 - 14:15,521,0
14:15 - 14:30,501,0
14:30 - 14:45,490,0
14:45 - 15:00,404,0
15:00 - 15:15,441,0
15:15 - 15:30,428,0
15:30 - 15:45,478,0
15:45 - 16:00,410,0
16:00 - 16:15,434,0
16:15 - 16:30,362,0
16:30 - 16:45,368,0
16:45 - 17:00,337,0
17:00 - 17:15,355,0
17:15 - 17:30,355,0
17:30 - 17:45,308,0
17:45 - 18:00,225,0
18:00 - 18:15,155,0
18:15 - 18:30,238,0
18:30 - 18:45,215,0
18:45 - 19:00,212,0
19:00 - 19:15,194,0
19:15 - 19:30,202,0
19:30 - 19:45,202,0
19:45 - 20:00,201,0
20:00 - 20:15,182,0
20:15 - 20:30,162,0
20:30 - 20:45,187,0
20:45 - 21:00,144,0
21:00 - 21:15,85,0
21:15 - 21:30,84,0
21:30 - 21:45,53,0
21:45 - 22:00,56,0
22:00 - 22:15,121,0
22:15 - 22:30,98,0
22:30 - 22:45,121,0
22:45 - 23:00,38,0
23:00 - 23:15,29,0
23:15 - 23:30,0,10
23:30 - 23:45,6,0
23:45 - 00:00,0,10
