Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,244,0
01:00 - 02:00,356,0
02:00 - 03:00,416,0
03:00 - 04:00,387,0
04:00 - 05:00,344,0
05:00 - 06:00,296,0
06:00 - 07:00,324,0
07:00 - 08:00,517,0
08:00 - 09:00,602,0
09:00 - 10:00,545,0
10:00 - 11:00,629,0
11:00 - 12:00,577,0
12:00 - 13:00,541,0
13:00 - 14:00,597,0
14:00 - 15:00,712,0
15:00 - 16:00,775,0
16:00 - 17:00,747,0
17:00 - 18:00,801,0
18:00 - 19:00,742,0
19:00 - 20:00,753,0
20:00 - 21:00,655,0
21:00 - 22:00,516,0
22:00 - 23:00,610,0
23:00 - 00:00,194,0
