Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,229,0
01:00 - 02:00,239,0
02:00 - 03:00,274,0
03:00 - 04:00,285,0
04:00 - 05:00,274,0
05:00 - 06:00,278,0
06:00 - 07:00,321,0
07:00 - 08:00,349,0
08:00 - 09:00,217,0
09:00 - 10:00,54,0
10:00 - 11:00,14,0
11:00 - 12:00,0,37
12:00 - 13:00,0,111
13:00 - 14:00,0,58
14:00 - 15:00,35,0
15:00 - 16:00,100,0
16:00 - 17:00,170,0
17:00 - 18:00,300,0
18:00 - 19:00,298,0
19:00 - 20:00,320,0
20:00 - 21:00,390,0
21:00 - 22:00,372,0
22:00 - 23:00,375,0
23:00 - 00:00,196,0
