Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,57
01:00 - 02:00,0,161
02:00 - 03:00,0,321
03:00 - 04:00,0,486
04:00 - 05:00,0,592
05:00 - 06:00,0,678
06:00 - 07:00,0,637
07:00 - 08:00,0,485
08:00 - 09:00,0,271
09:00 - 10:00,0,63
10:00 - 11:00,0,77
11:00 - 12:00,0,239
12:00 - 13:00,0,219
13:00 - 14:00,0,276
14:00 - 15:00,0,250
15:00 - 16:00,0,317
16:00 - 17:00,0,263
17:00 - 18:00,0,354
18:00 - 19:00,0,202
19:00 - 20:00,0,145
20:00 - 21:00,0,183
21:00 - 22:00,0,345
22:00 - 23:00,0,158
23:00 - 00:00,0,304
