Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,176,0
01:00 - 02:00,151,0
02:00 - 03:00,140,0
03:00 - 04:00,250,0
04:00 - 05:00,265,0
05:00 - 06:00,300,0
06:00 - 07:00,328,0
07:00 - 08:00,571,0
08:00 - 09:00,487,0
09:00 - 10:00,534,0
10:00 - 11:00,522,0
11:00 - 12:00,382,0
12:00 - 13:00,430,0
13:00 - 14:00,489,0
14:00 - 15:00,649,0
15:00 - 16:00,795,0
16:00 - 17:00,935,0
17:00 - 18:00,951,0
18:00 - 19:00,1113,0
19:00 - 20:00,944,0
20:00 - 21:00,786,0
21:00 - 22:00,494,0
22:00 - 23:00,537,0
23:00 - 00:00,426,0
