Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,390
01:00 - 02:00,0,386
02:00 - 03:00,0,398
03:00 - 04:00,0,384
04:00 - 05:00,0,317
05:00 - 06:00,0,302
06:00 - 07:00,0,322
07:00 - 08:00,0,136
08:00 - 09:00,0,115
09:00 - 10:00,2,0
10:00 - 11:00,0,24
11:00 - 12:00,0,97
12:00 - 13:00,1,0
13:00 - 14:00,0,118
14:00 - 15:00,0,251
15:00 - 16:00,0,347
16:00 - 17:00,0,376
17:00 - 18:00,0,429
18:00 - 19:00,0,423
19:00 - 20:00,0,430
20:00 - 21:00,0,345
21:00 - 22:00,0,321
22:00 - 23:00,0,264
23:00 - 00:00,0,260
