Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,146
01:00 - 02:00,0,178
02:00 - 03:00,0,83
03:00 - 04:00,0,98
04:00 - 05:00,0,60
05:00 - 06:00,0,48
06:00 - 07:00,0,50
07:00 - 08:00,0,42
08:00 - 09:00,0,65
09:00 - 10:00,0,36
10:00 - 11:00,52,0
11:00 - 12:00,14,0
12:00 - 13:00,106,0
13:00 - 14:00,234,0
14:00 - 15:00,233,0
15:00 - 16:00,323,0
16:00 - 17:00,245,0
17:00 - 18:00,360,0
18:00 - 19:00,437,0
19:00 - 20:00,419,0
20:00 - 21:00,429,0
21:00 - 22:00,324,0
22:00 - 23:00,152,0
23:00 - 00:00,0,131
