Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,284,0
01:00 - 02:00,249,0
02:00 - 03:00,288,0
03:00 - 04:00,242,0
04:00 - 05:00,260,0
05:00 - 06:00,295,0
06:00 - 07:00,334,0
07:00 - 08:00,236,0
08:00 - 09:00,69,0
09:00 - 10:00,0,90
10:00 - 11:00,0,293
11:00 - 12:00,0,401
12:00 - 13:00,0,348
13:00 - 14:00,0,258
14:00 - 15:00,0,142
15:00 - 16:00,0,79
16:00 - 17:00,7,0
17:00 - 18:00,154,0
18:00 - 19:00,254,0
19:00 - 20:00,411,0
20:00 - 21:00,501,0
21:00 - 22:00,507,0
22:00 - 23:00,431,0
23:00 - 00:00,286,0
