Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,276
01:00 - 02:00,0,252
02:00 - 03:00,0,292
03:00 - 04:00,0,277
04:00 - 05:00,0,285
05:00 - 06:00,0,315
06:00 - 07:00,0,316
07:00 - 08:00,0,195
08:00 - 09:00,23,0
09:00 - 10:00,80,0
10:00 - 11:00,184,0
11:00 - 12:00,231,0
12:00 - 13:00,138,0
13:00 - 14:00,0,99
14:00 - 15:00,0,258
15:00 - 16:00,0,230
16:00 - 17:00,0,179
17:00 - 18:00,0,181
18:00 - 19:00,0,103
19:00 - 20:00,0,103
20:00 - 21:00,0,136
21:00 - 22:00,0,203
22:00 - 23:00,0,230
23:00 - 00:00,0,252
