Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,165,0
00:15 - 00:30,129,0
00:30 - 00:45,122,0
00:45 - 01:00,135,0
01:00 - 01:15,148,0
01:15 - 01:30,200,0
01:30 - 01:45,201,0
01:45 - 02:00,158,0
02:00 - 02:15,181,0
02:15 - 02:30,166,0
02:30 - 02:45,172,0
02:45 - 03:00,170,0
03:00 - 03:15,190,0
03:15 - 03:30,142,0
03:30 - 03:45,148,0
03:45 - 04:00,168,0
04:00 - 04:15,178,0
04:15 - 04:30,172,0
04:30 - 04:45,178,0
04:45 - 05:00,186,0
05:00 - 05:15,252,0
05:15 - 05:30,256,0
05:30 - 05:45,209,0
05:45 - 06:00,240,0
06:00 - 06:15,257,0
06:15 - 06:30,282,0
06:30 - 06:45,251,0
06:45 - 07:00,251,0
07:00 - 07:15,160,0
07:15 - 07:30,182,0
07:30 - 07:45,193,0
07:45 - 08:00,183,0
08:00 - 08:15,196,0
08:15 - 08:30,153,0
08:30 - 08:45,200,0
08:45 - 09:00,120,0
09:00 - 09:15,131,0
09:15 - 09:30,124,0
09:30 - 09:45,151,0
09:45 - 10:00,126,0
10:00 - 10:15,192,0
10:15 - 10:30,222,0
10:30 - 10:45,146,0
10:45 - 11:00,150,0
11:00 - 11:15,221,0
11:15 - 11:30,172,0
11:30 - 11:45,211,0
11:45 - 12:00,270,0
12:00 - 12:15,244,0
12:15 - 12:30,271,0
12:30 - 12:45,231,0
12:45 - 13:00,218,0
13:00 - 13:15,294,0
13:15 - 13:30,281,0
13:30 - 13:45,273,0
13:45 - 14:00,268,0
14:00 - 14:15,269,0
14:15 - 14:30,206,0
14:30 - 14:45,263,0
14:45 - 15:00,300,0
15:00 - 15:15,301,0
15:15 - 15:30,278,0
15:30 - 15:45,347,0
15:45 - 16:00,273,0
16:00 - 16:15,275,0
16:15 - 16:30,340,0
16:30 - 16:45,285,0
16:45 - 17:00,276,0
17:00 - 17:15,374,0
17:15 - 17:30,356,0
17:30 - 17:45,386,0
17:45 - 18:00,350,0
18:00 - 18:15,362,0
18:15 - 18:30,384,0
18:30 - 18:45,380,0
18:45 - 19:00,368,0
19:00 - 19:15,322,0
19:15 - 19:30,300,0
19:30 - 19:45,334,0
19:45 - 20:00,347,0
20:00 - 20:15,258,0
20:15 - 20:30,214,0
20:30 - 20:45,224,0
20:45 - 21:00,229,0
21:00 - 21:15,230,0
21:15 - 21:30,229,0
21:30 - 21:45,201,0
21:45 - 22:00,215,0
22:00 - 22:15,257,0
22:15 - 22:30,210,0
22:30 - 22:45,203,0
22:45 - 23:00,175,0
23:00 - 23:15,200,0
23:15 - 23:30,210,0
23:30 - 23:45,182,0
23:45 - 00:00,180,0
