Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,134,0
01:00 - 02:00,132,0
02:00 - 03:00,174,0
03:00 - 04:00,156,0
04:00 - 05:00,173,0
05:00 - 06:00,228,0
06:00 - 07:00,310,0
07:00 - 08:00,288,0
08:00 - 09:00,355,0
09:00 - 10:00,410,0
10:00 - 11:00,526,0
11:00 - 12:00,571,0
12:00 - 13:00,560,0
13:00 - 14:00,611,0
14:00 - 15:00,567,0
15:00 - 16:00,539,0
16:00 - 17:00,465,0
17:00 - 18:00,499,0
18:00 - 19:00,492,0
19:00 - 20:00,446,0
20:00 - 21:00,250,0
21:00 - 22:00,237,0
22:00 - 23:00,231,0
23:00 - 00:00,237,0
