Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,145,0
01:00 - 02:00,161,0
02:00 - 03:00,190,0
03:00 - 04:00,182,0
04:00 - 05:00,187,0
05:00 - 06:00,120,0
06:00 - 07:00,97,0
07:00 - 08:00,92,0
08:00 - 09:00,0,37
09:00 - 10:00,0,296
10:00 - 11:00,0,541
11:00 - 12:00,0,562
12:00 - 13:00,0,685
13:00 - 14:00,0,610
14:00 - 15:00,0,505
15:00 - 16:00,0,249
16:00 - 17:00,0,143
17:00 - 18:00,73,0
18:00 - 19:00,249,0
19:00 - 20:00,225,0
20:00 - 21:00,321,0
21:00 - 22:00,274,0
22:00 - 23:00,147,0
23:00 - 00:00,0,174
