Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,149
01:00 - 02:00,0,139
02:00 - 03:00,0,126
03:00 - 04:00,0,119
04:00 - 05:00,0,101
05:00 - 06:00,0,155
06:00 - 07:00,0,157
07:00 - 08:00,0,59
08:00 - 09:00,0,15
09:00 - 10:00,0,42
10:00 - 11:00,0,82
11:00 - 12:00,0,40
12:00 - 13:00,0,120
13:00 - 14:00,0,90
14:00 - 15:00,0,21
15:00 - 16:00,212,0
16:00 - 17:00,233,0
17:00 - 18:00,346,0
18:00 - 19:00,365,0
19:00 - 20:00,327,0
20:00 - 21:00,277,0
21:00 - 22:00,192,0
22:00 - 23:00,38,0
23:00 - 00:00,0,211
