Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0.0,201.0
01:00 - 02:00,0.0,229.0
02:00 - 03:00,0.0,249.0
03:00 - 04:00,0.0,228.0
04:00 - 05:00,,
05:00 - 06:00,,
06:00 - 07:00,,
07:00 - 08:00,,
08:00 - 09:00,,
09:00 - 10:00,,
10:00 - 11:00,,
11:00 - 12:00,359.0,0.0
12:00 - 13:00,416.0,0.0
13:00 - 14:00,321.0,0.0
14:00 - 15:00,227.0,0.0
15:00 - 16:00,7.0,0.0
16:00 - 17:00,0.0,28.0
17:00 - 18:00,0.0,90.0
18:00 - 19:00,0.0,67.0
19:00 - 20:00,0.0,30.0
20:00 - 21:00,0.0,57.0
21:00 - 22:00,0.0,41.0
22:00 - 23:00,13.0,0.0
23:00 - 00:00,101.0,0.0
