Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,352,0
01:00 - 02:00,359,0
02:00 - 03:00,473,0
03:00 - 04:00,468,0
04:00 - 05:00,538,0
05:00 - 06:00,520,0
06:00 - 07:00,570,0
07:00 - 08:00,563,0
08:00 - 09:00,667,0
09:00 - 10:00,655,0
10:00 - 11:00,768,0
11:00 - 12:00,644,0
12:00 - 13:00,718,0
13:00 - 14:00,767,0
14:00 - 15:00,598,0
15:00 - 16:00,669,0
16:00 - 17:00,710,0
17:00 - 18:00,725,0
18:00 - 19:00,751,0
19:00 - 20:00,628,0
20:00 - 21:00,588,0
21:00 - 22:00,604,0
22:00 - 23:00,584,0
23:00 - 00:00,619,0
