Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0.0,258.0
01:00 - 02:00,0.0,289.0
02:00 - 03:00,0.0,437.0
03:00 - 04:00,0.0,480.0
04:00 - 05:00,0.0,504.0
05:00 - 06:00,0.0,468.0
06:00 - 07:00,0.0,440.0
07:00 - 08:00,0.0,279.0
08:00 - 09:00,0.0,138.0
09:00 - 10:00,0.0,127.0
10:00 - 11:00,,
11:00 - 12:00,0.0,363.0
12:00 - 13:00,0.0,340.0
13:00 - 14:00,0.0,342.0
14:00 - 15:00,0.0,328.0
15:00 - 16:00,0.0,322.0
16:00 - 17:00,0.0,349.0
17:00 - 18:00,0.0,279.0
18:00 - 19:00,0.0,269.0
19:00 - 20:00,0.0,100.0
20:00 - 21:00,0.0,130.0
21:00 - 22:00,0.0,195.0
22:00 - 23:00,0.0,165.0
23:00 - 00:00,0.0,278.0
