Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,375.0,0.0
01:00 - 02:00,432.0,0.0
02:00 - 03:00,425.0,0.0
03:00 - 04:00,345.0,0.0
04:00 - 05:00,328.0,0.0
05:00 - 06:00,352.0,0.0
06:00 - 07:00,443.0,0.0
07:00 - 08:00,262.0,0.0
08:00 - 09:00,131.0,0.0
09:00 - 10:00,92.0,0.0
10:00 - 11:00,107.0,0.0
11:00 - 12:00,98.0,0.0
12:00 - 13:00,57.0,0.0
13:00 - 14:00,59.0,0.0
14:00 - 15:00,87.0,0.0
15:00 - 16:00,100.0,0.0
16:00 - 17:00,108.0,0.0
17:00 - 18:00,457.0,0.0
18:00 - 19:00,575.0,0.0
19:00 - 20:00,535.0,0.0
20:00 - 21:00,,
21:00 - 22:00,,
22:00 - 23:00,443.0,0.0
23:00 - 00:00,291.0,0.0
