Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,305
01:00 - 02:00,0,558
02:00 - 03:00,0,570
03:00 - 04:00,0,494
04:00 - 05:00,0,497
05:00 - 06:00,0,506
06:00 - 07:00,0,533
07:00 - 08:00,0,247
08:00 - 09:00,0,200
09:00 - 10:00,0,269
10:00 - 11:00,0,290
11:00 - 12:00,0,291
12:00 - 13:00,0,310
13:00 - 14:00,0,308
14:00 - 15:00,0,331
15:00 - 16:00,0,322
16:00 - 17:00,0,253
17:00 - 18:00,0,501
18:00 - 19:00,0,389
19:00 - 20:00,0,211
20:00 - 21:00,0,188
21:00 - 22:00,0,159
22:00 - 23:00,0,196
23:00 - 00:00,0,284
