Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,88,0
01:00 - 02:00,26,0
02:00 - 03:00,61,0
03:00 - 04:00,50,0
04:00 - 05:00,60,0
05:00 - 06:00,82,0
06:00 - 07:00,162,0
07:00 - 08:00,272,0
08:00 - 09:00,291,0
09:00 - 10:00,304,0
10:00 - 11:00,358,0
11:00 - 12:00,213,0
12:00 - 13:00,189,0
13:00 - 14:00,57,0
14:00 - 15:00,0,88
15:00 - 16:00,0,154
16:00 - 17:00,0,88
17:00 - 18:00,0,126
18:00 - 19:00,36,0
19:00 - 20:00,225,0
20:00 - 21:00,194,0
21:00 - 22:00,131,0
22:00 - 23:00,45,0
23:00 - 00:00,0,48
