Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,359
01:00 - 02:00,0,394
02:00 - 03:00,0,418
03:00 - 04:00,0,421
04:00 - 05:00,0,448
05:00 - 06:00,0,452
06:00 - 07:00,0,450
07:00 - 08:00,0,393
08:00 - 09:00,0,402
09:00 - 10:00,0,348
10:00 - 11:00,0,224
11:00 - 12:00,0,37
12:00 - 13:00,0,16
13:00 - 14:00,96,0
14:00 - 15:00,152,0
15:00 - 16:00,208,0
16:00 - 17:00,183,0
17:00 - 18:00,193,0
18:00 - 19:00,180,0
19:00 - 20:00,175,0
20:00 - 21:00,74,0
21:00 - 22:00,92,0
22:00 - 23:00,120,0
23:00 - 00:00,0,215
