Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,295
01:00 - 02:00,0,243
02:00 - 03:00,0,265
03:00 - 04:00,0,198
04:00 - 05:00,0,159
05:00 - 06:00,0,117
06:00 - 07:00,11,0
07:00 - 08:00,166,0
08:00 - 09:00,108,0
09:00 - 10:00,24,0
10:00 - 11:00,217,0
11:00 - 12:00,520,0
12:00 - 13:00,542,0
13:00 - 14:00,581,0
14:00 - 15:00,652,0
15:00 - 16:00,615,0
16:00 - 17:00,576,0
17:00 - 18:00,671,0
18:00 - 19:00,772,0
19:00 - 20:00,566,0
20:00 - 21:00,510,0
21:00 - 22:00,410,0
22:00 - 23:00,275,0
23:00 - 00:00,63,0
