Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,2,0
01:00 - 02:00,33,0
02:00 - 03:00,0,5
03:00 - 04:00,36,0
04:00 - 05:00,44,0
05:00 - 06:00,57,0
06:00 - 07:00,0,35
07:00 - 08:00,0,60
08:00 - 09:00,0,5
09:00 - 10:00,23,0
10:00 - 11:00,73,0
11:00 - 12:00,129,0
12:00 - 13:00,137,0
13:00 - 14:00,153,0
14:00 - 15:00,239,0
15:00 - 16:00,282,0
16:00 - 17:00,291,0
17:00 - 18:00,347,0
18:00 - 19:00,437,0
19:00 - 20:00,421,0
20:00 - 21:00,324,0
21:00 - 22:00,226,0
22:00 - 23:00,24,0
23:00 - 00:00,0,195
