Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,287,0
01:00 - 02:00,281,0
02:00 - 03:00,218,0
03:00 - 04:00,175,0
04:00 - 05:00,151,0
05:00 - 06:00,151,0
06:00 - 07:00,95,0
07:00 - 08:00,25,0
08:00 - 09:00,0,73
09:00 - 10:00,0,250
10:00 - 11:00,0,248
11:00 - 12:00,0,300
12:00 - 13:00,0,377
13:00 - 14:00,0,361
14:00 - 15:00,0,236
15:00 - 16:00,0,138
16:00 - 17:00,0,45
17:00 - 18:00,116,0
18:00 - 19:00,341,0
19:00 - 20:00,481,0
20:00 - 21:00,493,0
21:00 - 22:00,468,0
22:00 - 23:00,337,0
23:00 - 00:00,82,0
