Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,68,0
01:00 - 02:00,44,0
02:00 - 03:00,73,0
03:00 - 04:00,97,0
04:00 - 05:00,42,0
05:00 - 06:00,1,0
06:00 - 07:00,7,0
07:00 - 08:00,144,0
08:00 - 09:00,156,0
09:00 - 10:00,185,0
10:00 - 11:00,147,0
11:00 - 12:00,0,10
12:00 - 13:00,0,50
13:00 - 14:00,1,0
14:00 - 15:00,31,0
15:00 - 16:00,30,0
16:00 - 17:00,57,0
17:00 - 18:00,30,0
18:00 - 19:00,4,0
19:00 - 20:00,106,0
20:00 - 21:00,0,102
21:00 - 22:00,0,18
22:00 - 23:00,0,10
23:00 - 00:00,0,17
