Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,226
01:00 - 02:00,0,178
02:00 - 03:00,0,198
03:00 - 04:00,0,202
04:00 - 05:00,0,183
05:00 - 06:00,0,159
06:00 - 07:00,0,147
07:00 - 08:00,0,77
08:00 - 09:00,0,56
09:00 - 10:00,33,0
10:00 - 11:00,157,0
11:00 - 12:00,189,0
12:00 - 13:00,258,0
13:00 - 14:00,282,0
14:00 - 15:00,246,0
15:00 - 16:00,246,0
16:00 - 17:00,226,0
17:00 - 18:00,307,0
18:00 - 19:00,321,0
19:00 - 20:00,222,0
20:00 - 21:00,242,0
21:00 - 22:00,100,0
22:00 - 23:00,19,0
23:00 - 00:00,0,115
