Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,287,0
01:00 - 02:00,235,0
02:00 - 03:00,209,0
03:00 - 04:00,243,0
04:00 - 05:00,266,0
05:00 - 06:00,294,0
06:00 - 07:00,324,0
07:00 - 08:00,286,0
08:00 - 09:00,267,0
09:00 - 10:00,224,0
10:00 - 11:00,183,0
11:00 - 12:00,220,0
12:00 - 13:00,221,0
13:00 - 14:00,381,0
14:00 - 15:00,378,0
15:00 - 16:00,441,0
16:00 - 17:00,358,0
17:00 - 18:00,572,0
18:00 - 19:00,597,0
19:00 - 20:00,455,0
20:00 - 21:00,220,0
21:00 - 22:00,189,0
22:00 - 23:00,207,0
23:00 - 00:00,206,0
