Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,366,0
00:15 - 00:30,340,0
00:30 - 00:45,364,0
00:45 - 01:00,376,0
01:00 - 01:15,341,0
01:15 - 01:30,329,0
01:30 - 01:45,301,0
01:45 - 02:00,272,0
02:00 - 02:15,350,0
02:15 - 02:30,306,0
02:30 - 02:45,296,0
02:45 - 03:00,237,0
03:00 - 03:15,300,0
03:15 - 03:30,271,0
03:30 - 03:45,274,0
03:45 - 04:00,323,0
04:00 - 04:15,280,0
04:15 - 04:30,299,0
04:30 - 04:45,335,0
04:45 - 05:00,279,0
05:00 - 05:15,309,0
05:15 - 05:30,333,0
05:30 - 05:45,303,0
05:45 - 06:00,324,0
06:00 - 06:15,275,0
06:15 - 06:30,267,0
06:30 - 06:45,307,0
06:45 - 07:00,253,0
07:00 - 07:15,245,0
07:15 - 07:30,174,0
07:30 - 07:45,172,0
07:45 - 08:00,134,0
08:00 - 08:15,148,0
08:15 - 08:30,129,0
08:30 - 08:45,125,0
08:45 - 09:00,126,0
09:00 - 09:15,123,0
09:15 - 09:30,67,0
09:30 - 09:45,44,0
09:45 - 10:00,51,0
10:00 - 10:15,98,0
10:15 - 10:30,51,0
10:30 - 10:45,16,0
10:45 - 11:00,76,0
11:00 - 11:15,107,0
11:15 - 11:30,121,0
11:30 - 11:45,90,0
11:45 - 12:00,169,0
12:00 - 12:15,115,0
12:15 - 12:30,107,0
12:30 - 12:45,93,0
12:45 - 13:00,214,0
13:00 - 13:15,298,0
13:15 - 13:30,340,0
13:30 - 13:45,317,0
13:45 - 14:00,279,0
14:00 - 14:15,329,0
14:15 - 14:30,305,0
14:30 - 14:45,317,0
14:45 - 15:00,398,0
15:00 - 15:15,389,0
15:15 - 15:30,406,0
15:30 - 15:45,441,0
15:45 - 16:00,332,0
16:00 - 16:15,238,0
16:15 - 16:30,394,0
16:30 - 16:45,344,0
16:45 - 17:00,410,0
17:00 - 17:15,294,0
17:15 - 17:30,280,0
17:30 - 17:45,348,0
17:45 - 18:00,309,0
18:00 - 18:15,275,0
18:15 - 18:30,312,0
18:30 - 18:45,387,0
18:45 - 19:00,327,0
19:00 - 19:15,293,0
19:15 - 19:30,325,0
19:30 - 19:45,370,0
19:45 - 20:00,297,0
20:00 - 20:15,224,0
20:15 - 20:30,250,0
20:30 - 20:45,214,0
20:45 - 21:00,270,0
21:00 - 21:15,250,0
21:15 - 21:30,200,0
21:30 - 21:45,219,0
21:45 - 22:00,221,0
22:00 - 22:15,234,0
22:15 - 22:30,209,0
22:30 - 22:45,216,0
22:45 - 23:00,209,0
23:00 - 23:15,245,0
23:15 - 23:30,216,0
23:30 - 23:45,215,0
23:45 - 00:00,295,0
