Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0.0,204.0
01:00 - 02:00,0.0,254.0
02:00 - 03:00,0.0,236.0
03:00 - 04:00,0.0,252.0
04:00 - 05:00,0.0,275.0
05:00 - 06:00,0.0,258.0
06:00 - 07:00,0.0,290.0
07:00 - 08:00,0.0,186.0
08:00 - 09:00,,
09:00 - 10:00,0.0,201.0
10:00 - 11:00,0.0,290.0
11:00 - 12:00,0.0,414.0
12:00 - 13:00,0.0,315.0
13:00 - 14:00,0.0,286.0
14:00 - 15:00,0.0,278.0
15:00 - 16:00,0.0,300.0
16:00 - 17:00,0.0,341.0
17:00 - 18:00,0.0,268.0
18:00 - 19:00,0.0,173.0
19:00 - 20:00,0.0,93.0
20:00 - 21:00,122.0,0.0
21:00 - 22:00,85.0,0.0
22:00 - 23:00,96.0,0.0
23:00 - 00:00,34.0,0.0
