Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,,
00:15 - 00:30,,
00:30 - 00:45,,
00:45 - 01:00,,
01:00 - 01:15,0.0,55.0
01:15 - 01:30,0.0,48.0
01:30 - 01:45,0.0,43.0
01:45 - 02:00,0.0,48.0
02:00 - 02:15,0.0,48.0
02:15 - 02:30,0.0,41.0
02:30 - 02:45,0.0,26.0
02:45 - 03:00,0.0,30.0
03:00 - 03:15,0.0,34.0
03:15 - 03:30,0.0,32.0
03:30 - 03:45,0.0,35.0
03:45 - 04:00,0.0,37.0
04:00 - 04:15,0.0,45.0
04:15 - 04:30,0.0,47.0
04:30 - 04:45,0.0,47.0
04:45 - 05:00,0.0,50.0
05:00 - 05:15,0.0,54.0
05:15 - 05:30,0.0,57.0
05:30 - 05:45,0.0,54.0
05:45 - 06:00,0.0,56.0
06:00 - 06:15,0.0,48.0
06:15 - 06:30,0.0,55.0
06:30 - 06:45,0.0,55.0
06:45 - 07:00,0.0,59.0
07:00 - 07:15,0.0,48.0
07:15 - 07:30,0.0,50.0
07:30 - 07:45,0.0,46.0
07:45 - 08:00,0.0,39.0
08:00 - 08:15,0.0,59.0
08:15 - 08:30,0.0,71.0
08:30 - 08:45,0.0,71.0
08:45 - 09:00,0.0,67.0
09:00 - 09:15,0.0,51.0
09:15 - 09:30,0.0,59.0
09:30 - 09:45,0.0,57.0
09:45 - 10:00,0.0,60.0
10:00 - 10:15,0.0,64.0
10:15 - 10:30,0.0,62.0
10:30 - 10:45,0.0,61.0
10:45 - 11:00,0.0,69.0
11:00 - 11:15,0.0,72.0
11:15 - 11:30,0.0,66.0
11:30 - 11:45,0.0,71.0
11:45 - 12:00,0.0,65.0
12:00 - 12:15,0.0,71.0
12:15 - 12:30,0.0,61.0
12:30 - 12:45,0.0,56.0
12:45 - 13:00,0.0,57.0
13:00 - 13:15,0.0,61.0
13:15 - 13:30,0.0,63.0
13:30 - 13:45,0.0,65.0
13:45 - 14:00,0.0,58.0
14:00 - 14:15,0.0,53.0
14:15 - 14:30,0.0,62.0
14:30 - 14:45,0.0,61.0
14:45 - 15:00,0.0,61.0
15:00 - 15:15,0.0,62.0
15:15 - 15:30,0.0,66.0
15:30 - 15:45,0.0,64.0
15:45 - 16:00,0.0,66.0
16:00 - 16:15,0.0,63.0
16:15 - 16:30,0.0,72.0
16:30 - 16:45,0.0,64.0
16:45 - 17:00,0.0,65.0
17:00 - 17:15,0.0,49.0
17:15 - 17:30,0.0,47.0
17:30 - 17:45,0.0,42.0
17:45 - 18:00,0.0,40.0
18:00 - 18:15,0.0,14.0
18:15 - 18:30,0.0,23.0
18:30 - 18:45,0.0,29.0
18:45 - 19:00,0.0,33.0
19:00 - 19:15,0.0,23.0
19:15 - 19:30,0.0,28.0
19:30 - 19:45,0.0,23.0
19:45 - 20:00,0.0,27.0
20:00 - 20:15,0.0,10.0
20:15 - 20:30,0.0,8.0
20:30 - 20:45,1.0,0.0
20:45 - 21:00,1.0,0.0
21:00 - 21:15,0.0,0.0
21:15 - 21:30,0.0,3.0
21:30 - 21:45,0.0,0.0
21:45 - 22:00,0.0,6.0
22:00 - 22:15,0.0,9.0
22:15 - 22:30,0.0,0.0
22:30 - 22:45,3.0,0.0
22:45 - 23:00,8.0,0.0
23:00 - 23:15,0.0,24.0
23:15 - 23:30,0.0,16.0
23:30 - 23:45,0.0,11.0
23:45 - 00:00,0.0,7.0
