Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,439,0
01:00 - 02:00,514,0
02:00 - 03:00,455,0
03:00 - 04:00,466,0
04:00 - 05:00,529,0
05:00 - 06:00,537,0
06:00 - 07:00,570,0
07:00 - 08:00,454,0
08:00 - 09:00,504,0
09:00 - 10:00,395,0
10:00 - 11:00,424,0
11:00 - 12:00,482,0
12:00 - 13:00,416,0
13:00 - 14:00,426,0
14:00 - 15:00,362,0
15:00 - 16:00,374,0
16:00 - 17:00,429,0
17:00 - 18:00,349,0
18:00 - 19:00,270,0
19:00 - 20:00,295,0
20:00 - 21:00,180,0
21:00 - 22:00,191,0
22:00 - 23:00,198,0
23:00 - 00:00,318,0
