Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,338
01:00 - 02:00,0,280
02:00 - 03:00,0,251
03:00 - 04:00,0,252
04:00 - 05:00,0,159
05:00 - 06:00,0,88
06:00 - 07:00,0,117
07:00 - 08:00,0,138
08:00 - 09:00,0,76
09:00 - 10:00,0,34
10:00 - 11:00,71,0
11:00 - 12:00,99,0
12:00 - 13:00,2,0
13:00 - 14:00,55,0
14:00 - 15:00,103,0
15:00 - 16:00,94,0
16:00 - 17:00,109,0
17:00 - 18:00,134,0
18:00 - 19:00,98,0
19:00 - 20:00,223,0
20:00 - 21:00,137,0
21:00 - 22:00,31,0
22:00 - 23:00,0,170
23:00 - 00:00,0,285
