Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,231
01:00 - 02:00,0,226
02:00 - 03:00,0,176
03:00 - 04:00,0,170
04:00 - 05:00,0,145
05:00 - 06:00,0,58
06:00 - 07:00,77,0
07:00 - 08:00,250,0
08:00 - 09:00,189,0
09:00 - 10:00,139,0
10:00 - 11:00,118,0
11:00 - 12:00,155,0
12:00 - 13:00,175,0
13:00 - 14:00,156,0
14:00 - 15:00,179,0
15:00 - 16:00,87,0
16:00 - 17:00,184,0
17:00 - 18:00,332,0
18:00 - 19:00,544,0
19:00 - 20:00,488,0
20:00 - 21:00,375,0
21:00 - 22:00,341,0
22:00 - 23:00,389,0
23:00 - 00:00,0,20
