Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,27
01:00 - 02:00,0,190
02:00 - 03:00,0,305
03:00 - 04:00,0,267
04:00 - 05:00,0,296
05:00 - 06:00,0,355
06:00 - 07:00,0,468
07:00 - 08:00,0,163
08:00 - 09:00,27,0
09:00 - 10:00,85,0
10:00 - 11:00,99,0
11:00 - 12:00,163,0
12:00 - 13:00,236,0
13:00 - 14:00,118,0
14:00 - 15:00,78,0
15:00 - 16:00,0,19
16:00 - 17:00,0,93
17:00 - 18:00,0,118
18:00 - 19:00,0,77
19:00 - 20:00,0,133
20:00 - 21:00,0,134
21:00 - 22:00,0,184
22:00 - 23:00,0,207
23:00 - 00:00,0,211
