Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,170
01:00 - 02:00,0,210
02:00 - 03:00,0,242
03:00 - 04:00,0,195
04:00 - 05:00,0,205
05:00 - 06:00,0,200
06:00 - 07:00,0,183
07:00 - 08:00,14,0
08:00 - 09:00,208,0
09:00 - 10:00,466,0
10:00 - 11:00,526,0
11:00 - 12:00,463,0
12:00 - 13:00,299,0
13:00 - 14:00,127,0
14:00 - 15:00,23,0
15:00 - 16:00,0,127
16:00 - 17:00,0,117
17:00 - 18:00,4,0
18:00 - 19:00,149,0
19:00 - 20:00,227,0
20:00 - 21:00,95,0
21:00 - 22:00,0,5
22:00 - 23:00,22,0
23:00 - 00:00,0,97
