Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,391,0
01:00 - 02:00,272,0
02:00 - 03:00,238,0
03:00 - 04:00,300,0
04:00 - 05:00,353,0
05:00 - 06:00,327,0
06:00 - 07:00,312,0
07:00 - 08:00,564,0
08:00 - 09:00,449,0
09:00 - 10:00,288,0
10:00 - 11:00,348,0
11:00 - 12:00,254,0
12:00 - 13:00,324,0
13:00 - 14:00,441,0
14:00 - 15:00,530,0
15:00 - 16:00,785,0
16:00 - 17:00,679,0
17:00 - 18:00,790,0
18:00 - 19:00,804,0
19:00 - 20:00,834,0
20:00 - 21:00,724,0
21:00 - 22:00,644,0
22:00 - 23:00,606,0
23:00 - 00:00,176,0
