Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,329,0
01:00 - 02:00,284,0
02:00 - 03:00,266,0
03:00 - 04:00,246,0
04:00 - 05:00,256,0
05:00 - 06:00,249,0
06:00 - 07:00,216,0
07:00 - 08:00,216,0
08:00 - 09:00,119,0
09:00 - 10:00,0,62
10:00 - 11:00,0,191
11:00 - 12:00,0,322
12:00 - 13:00,0,338
13:00 - 14:00,0,215
14:00 - 15:00,0,128
15:00 - 16:00,167,0
16:00 - 17:00,225,0
17:00 - 18:00,467,0
18:00 - 19:00,517,0
19:00 - 20:00,567,0
20:00 - 21:00,629,0
21:00 - 22:00,663,0
22:00 - 23:00,636,0
23:00 - 00:00,321,0
