Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,371,0
01:00 - 02:00,374,0
02:00 - 03:00,376,0
03:00 - 04:00,402,0
04:00 - 05:00,432,0
05:00 - 06:00,422,0
06:00 - 07:00,445,0
07:00 - 08:00,367,0
08:00 - 09:00,263,0
09:00 - 10:00,284,0
10:00 - 11:00,282,0
11:00 - 12:00,341,0
12:00 - 13:00,339,0
13:00 - 14:00,385,0
14:00 - 15:00,427,0
15:00 - 16:00,440,0
16:00 - 17:00,467,0
17:00 - 18:00,475,0
18:00 - 19:00,486,0
19:00 - 20:00,390,0
20:00 - 21:00,418,0
21:00 - 22:00,400,0
22:00 - 23:00,390,0
23:00 - 00:00,367,0
