Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,0,0
00:15 - 00:30,10,0
00:30 - 00:45,17,0
00:45 - 01:00,6,0
01:00 - 01:15,3,0
01:15 - 01:30,0,6
01:30 - 01:45,0,0
01:45 - 02:00,7,0
02:00 - 02:15,0,11
02:15 - 02:30,0,8
02:30 - 02:45,0,7
02:45 - 03:00,0,7
03:00 - 03:15,0,12
03:15 - 03:30,0,14
03:30 - 03:45,0,12
03:45 - 04:00,0,10
04:00 - 04:15,0,13
04:15 - 04:30,0,13
04:30 - 04:45,0,11
04:45 - 05:00,0,9
05:00 - 05:15,0,16
05:15 - 05:30,0,14
05:30 - 05:45,0,18
05:45 - 06:00,0,17
06:00 - 06:15,0,22
06:15 - 06:30,0,29
06:30 - 06:45,0,30
06:45 - 07:00,0,29
07:00 - 07:15,0,8
07:15 - 07:30,0,6
07:30 - 07:45,0,0
07:45 - 08:00,11,0
08:00 - 08:15,7,0
08:15 - 08:30,11,0
08:30 - 08:45,14,0
08:45 - 09:00,19,0
09:00 - 09:15,0,1
09:15 - 09:30,0,23
09:30 - 09:45,0,36
09:45 - 10:00,0,34
10:00 - 10:15,0,46
10:15 - 10:30,0,36
10:30 - 10:45,0,32
10:45 - 11:00,0,28
11:00 - 11:15,0,55
11:15 - 11:30,0,74
11:30 - 11:45,0,72
11:45 - 12:00,0,61
12:00 - 12:15,0,74
12:15 - 12:30,0,87
12:30 - 12:45,0,89
12:45 - 13:00,0,88
13:00 - 13:15,0,86
13:15 - 13:30,0,53
13:30 - 13:45,0,33
13:45 - 14:00,0,33
14:00 - 14:15,0,41
14:15 - 14:30,0,51
14:30 - 14:45,0,47
14:45 - 15:00,0,58
15:00 - 15:15,0,58
15:15 - 15:30,0,56
15:30 - 15:45,0,49
15:45 - 16:00,0,58
16:00 - 16:15,0,76
16:15 - 16:30,0,82
16:30 - 16:45,0,84
16:45 - 17:00,0,85
17:00 - 17:15,0,86
17:15 - 17:30,0,98
17:30 - 17:45,0,102
17:45 - 18:00,0,102
18:00 - 18:15,0,104
18:15 - 18:30,0,100
18:30 - 18:45,0,90
18:45 - 19:00,0,93
19:00 - 19:15,0,71
19:15 - 19:30,0,69
19:30 - 19:45,0,71
19:45 - 20:00,0,62
20:00 - 20:15,0,38
20:15 - 20:30,0,29
20:30 - 20:45,0,28
20:45 - 21:00,0,31
21:00 - 21:15,0,31
21:15 - 21:30,0,33
21:30 - 21:45,0,35
21:45 - 22:00,0,34
22:00 - 22:15,0,32
22:15 - 22:30,0,18
22:30 - 22:45,0,14
22:45 - 23:00,0,12
23:00 - 23:15,0,27
23:15 - 23:30,0,19
23:30 - 23:45,0,12
23:45 - 00:00,0,11
