Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,444,0
01:00 - 02:00,378,0
02:00 - 03:00,427,0
03:00 - 04:00,457,0
04:00 - 05:00,457,0
05:00 - 06:00,385,0
06:00 - 07:00,374,0
07:00 - 08:00,385,0
08:00 - 09:00,209,0
09:00 - 10:00,232,0
10:00 - 11:00,101,0
11:00 - 12:00,4,0
12:00 - 13:00,0,65
13:00 - 14:00,0,91
14:00 - 15:00,0,95
15:00 - 16:00,37,0
16:00 - 17:00,63,0
17:00 - 18:00,274,0
18:00 - 19:00,455,0
19:00 - 20:00,429,0
20:00 - 21:00,439,0
21:00 - 22:00,430,0
22:00 - 23:00,419,0
23:00 - 00:00,372,0
