Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,125
01:00 - 02:00,0,1
02:00 - 03:00,67,0
03:00 - 04:00,66,0
04:00 - 05:00,60,0
05:00 - 06:00,51,0
06:00 - 07:00,111,0
07:00 - 08:00,63,0
08:00 - 09:00,0,121
09:00 - 10:00,0,197
10:00 - 11:00,0,213
11:00 - 12:00,0,171
12:00 - 13:00,0,135
13:00 - 14:00,0,114
14:00 - 15:00,0,125
15:00 - 16:00,0,116
16:00 - 17:00,0,153
17:00 - 18:00,0,103
18:00 - 19:00,93,0
19:00 - 20:00,39,0
20:00 - 21:00,0,64
21:00 - 22:00,0,145
22:00 - 23:00,0,63
23:00 - 00:00,0,36
