Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,324,0
01:00 - 02:00,408,0
02:00 - 03:00,350,0
03:00 - 04:00,278,0
04:00 - 05:00,246,0
05:00 - 06:00,209,0
06:00 - 07:00,276,0
07:00 - 08:00,159,0
08:00 - 09:00,0,46
09:00 - 10:00,0,301
10:00 - 11:00,0,538
11:00 - 12:00,0,536
12:00 - 13:00,0,597
13:00 - 14:00,0,571
14:00 - 15:00,0,597
15:00 - 16:00,0,540
16:00 - 17:00,0,421
17:00 - 18:00,0,261
18:00 - 19:00,0,18
19:00 - 20:00,37,0
20:00 - 21:00,167,0
21:00 - 22:00,141,0
22:00 - 23:00,84,0
23:00 - 00:00,53,0
