Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,285
01:00 - 02:00,0,523
02:00 - 03:00,0,509
03:00 - 04:00,0,474
04:00 - 05:00,0,434
05:00 - 06:00,0,366
06:00 - 07:00,0,404
07:00 - 08:00,0,195
08:00 - 09:00,0,17
09:00 - 10:00,135,0
10:00 - 11:00,229,0
11:00 - 12:00,203,0
12:00 - 13:00,271,0
13:00 - 14:00,244,0
14:00 - 15:00,235,0
15:00 - 16:00,238,0
16:00 - 17:00,162,0
17:00 - 18:00,73,0
18:00 - 19:00,66,0
19:00 - 20:00,43,0
20:00 - 21:00,0,29
21:00 - 22:00,0,31
22:00 - 23:00,0,60
23:00 - 00:00,0,53
