Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,156,0
01:00 - 02:00,210,0
02:00 - 03:00,286,0
03:00 - 04:00,273,0
04:00 - 05:00,273,0
05:00 - 06:00,289,0
06:00 - 07:00,277,0
07:00 - 08:00,248,0
08:00 - 09:00,78,0
09:00 - 10:00,0,82
10:00 - 11:00,0,235
11:00 - 12:00,0,293
12:00 - 13:00,0,291
13:00 - 14:00,0,213
14:00 - 15:00,0,219
15:00 - 16:00,0,83
16:00 - 17:00,14,0
17:00 - 18:00,194,0
18:00 - 19:00,234,0
19:00 - 20:00,246,0
20:00 - 21:00,311,0
21:00 - 22:00,337,0
22:00 - 23:00,290,0
23:00 - 00:00,184,0
